home_team,avg_goals_per_match
Morocco,2.4827586206896552
Panama,3.0135135135135136
Cape Verde,2.25
Hong Kong,3.2
German DR,3.0
Ukraine,2.7714285714285714
Venezuela,3.341463414634146
Iceland,3.185840707964602
Israel,3.148936170212766
Saint Kitts and Nevis,3.75
Oman,2.739130434782609
North Korea,2.6862745098039214
South Korea,2.75
Cyprus,3.8135593220338984
Palestine,3.176470588235294
Gibraltar,5.2105263157894735
Uruguay,3.133603238866397
Mexico,3.0372670807453415
Aruba,4.444444444444445
Montenegro,3.033333333333333
Zimbabwe,2.675
Georgia,2.787878787878788
Estonia,3.513888888888889
Indonesia,3.7346938775510203
Saint Vincent and the Grenadines,5.3125
Mongolia,5.230769230769231
Guam,5.833333333333333
Guatemala,2.9310344827586206
Azerbaijan,3.203125
Libya,2.2413793103448274
Grenada,3.4
Armenia,2.8507462686567164
Tunisia,2.6310679611650487
Liberia,2.8125
Syria,3.1206896551724137
Honduras,3.1136363636363638
Trinidad and Tobago,3.028985507246377
Saudi Arabia,2.925925925925926
Yugoslavia,3.095744680851064
Uganda,2.725
French Guiana,3.0
Namibia,3.125
Switzerland,3.013888888888889
Zambia,2.5875
Ethiopia,2.8857142857142857
Latvia,3.090909090909091
Jamaica,2.6666666666666665
Eswatini,4.2
United Arab Emirates,2.925373134328358
Brunei,3.875
South Sudan,2.5
Saint Lucia,3.857142857142857
Guinea,2.8450704225352115
Canada,2.986842105263158
Seychelles,3.625
Kyrgyzstan,3.3
North Macedonia,2.9295774647887325
Faroe Islands,3.5584415584415585
Uzbekistan,3.0307692307692307
Vietnam Republic,3.875
Samoa,5.7
Czech Republic,2.7865168539325844
Mozambique,2.586206896551724
Cook Islands,5.411764705882353
Brazil,2.9155844155844157
Belize,3.7777777777777777
Kenya,2.883720930232558
Gambia,2.4375
Lebanon,3.1714285714285713
Slovenia,2.6164383561643834
Antigua and Barbuda,3.888888888888889
Dominican Republic,3.769230769230769
Tanzania,2.88
Japan,2.7766990291262137
Botswana,2.611111111111111
Republic of Ireland,2.781021897810219
Luxembourg,3.723076923076923
New Zealand,2.966666666666667
Bosnia and Herzegovina,3.169230769230769
England,3.1805555555555554
China PR,2.8048780487804876
Haiti,3.1555555555555554
Poland,3.1203007518796992
Portugal,2.93125
Cameroon,2.75
Australia,2.86
Papua New Guinea,6.214285714285714
Romania,2.8992805755395685
Guinea-Bissau,2.6923076923076925
Bulgaria,2.877862595419847
Solomon Islands,4.5
Austria,3.0793650793650795
Nepal,4.619047619047619
Costa Rica,2.814516129032258
Kazakhstan,3.480769230769231
El Salvador,2.9529411764705884
Egypt,2.691358024691358
Serbia,3.138888888888889
South Africa,2.5319148936170213
Burkina Faso,2.847826086956522
Bermuda,4.421052631578948
Scotland,2.744360902255639
Bahrain,2.5090909090909093
Northern Ireland,2.59375
Colombia,2.925675675675676
Saarland,4.0
Hungary,3.2937062937062938
Pakistan,4.125
Vanuatu,3.9714285714285715
Mauritius,3.25
Moldova,3.212121212121212
Vietnam,3.4
Netherlands,3.0193548387096776
Mali,2.58
